number ,article.title,location,lat,long,duration.hours,duration.of.study.days,camtrap.days,number.of.records,animal.richness ,animal.name,scientific.name,year,n.cams,bait (yes/no),month.of.study,temperature ,notes,mean.temp.for.sampling.period ,max.temp.for. Sampling. period ,mean.annual.temp(°C),N.sites,sample.design,,type
48,Modelling fine-scale habitat associations of medium-to-large forest mammals in the Udzungwa Mountains of Tanzania using camera trapping,"Udzungwa Mountains, Tanzania ",-7.76,36.85,,,1818,12911,26,,"Cricetomys gambianus Waterhouse, Bdeogale crassicauda, Cephalophus harveyi , Nesotragus moschatus, Cercocebus sanjei, Rhynchocyon udzungwensis, Paraxerus vexillarius, Dendrohyrax validus, Cephalophus spadix, Genetta servalina Pucheran, Potamochoerus larvatus, Cercopithecus mitis Wolf, Petrodromus tetradactylus, Mellivora capensis, Loxodonta africana,Nandinia binotata, Syncerus caffer, Atilax paludinosus, Colobus angolensis, Panthera pardus, Procolobus gordonorum, Mungos mungo, Tragelaphus scriptus, Papio cynocephalus, Rhynchocyon cirnei, Thryonomys swinderianus",2013,60,no,July-November,,,,,,2,distance,,mountain
49,"Mammal richness and diversity in Serra do Facao region, Southeastern Goias state, central Brazil","Serra do Facão region, Brazil",-17,-47.5,14508,,31496,,20,,,2013,,yes,,,,,,23.5,10,,,forest
50,The effect of anthropic pressures and elevation on the large and medium-sized terrestrial mammals of the subtropical mountain forests (Yungas) of NW Argentina,"Yungas, Argentina",-2.164,-63.91,1320,,,,20,,,,24,yes,,,,,,,,distance,,subtropical forest
51,Multiple Browsers Structure Tree Recruitment in Logged Temperate Forests,"Karoo, South Africa",-32.82,-22.24,,,8812,1024,38,,,2016-2017,196,no,September-May,,,,,,25,distance,,"dryland, grassland"
52,Forest habitats in a mixed urban-agriculture mosaic landscape: patterns of mammal occupancy,"Ugu, Kuwazulu-Natal, South Africa",-30.2,30.8,2016,,,30,,"Mungos mungo, Canis mesomelas, Philantomba monticola, Tragelaphus scriptus, Potamochoerus larvatus, Thryonomys swinderianus, Hystrix africaeaustralis, Caracal caracal, Papio ursinus, Bos taurus, Felis catus, Canis familiaris, Ovis aries, Sylvicapra grimmia, Aepyceros melampus, Tragelaphus strepsiceros,Herpestes ichneumon, Genetta tigrina, Atilax paludinosus, Tragelaphus angasii, Cephalophus natalensis, Redunca arundinum, Procavia capensis, Rodent spp., Cercopithecus albogularis labiatus, Lepus saxatilis, Herpestes sanguineus, Cercopithecus pygerythrus, Phacochoerus africanus, Kobus ellipsiprymnus, Ichneumia albicauda, Connochaetes taurinus, Equus quagga",,2014-2015,,no,June-May,,,,,18,,,,subtropical forest
,,,,,,,,,,,,2015-2016,,,June-May,,,,,,,,,
53,Camera trap placement and the potential for bias due to trails and other features,"Smithsonian Conservation  Biology Institute, Virginia, USA",38.87,-78.16,,,2742,19,,,,,,no,,,,,,,,grid,,"grassland, deciduous forest"
54,Camera trapping surveys of forest mammal communities in the Eastern Arc Mountains reveal generalized habitat and human disturbance responses,,,,,,11500,6444,43,,,,,no,"June-October, November-January",,,,,12,,,,"forest, mountain"
,,"Tita Hills, Kenya",-3.41,38.33,,,,,,,,,,,,,,,,,,,,
,,"Uszungwa, Tanzani",-7.25,-36.25,,,,,,,,,,,,,,,,,,,,
