site,sensor,date,year,month,day,hour.24,hour,lat,lon,microsite,rep,temp,intensity,pendant.id,timeblock,soil.moisture,cover.type
panoche,hobo.pendant,05/21/19,2019,5,21,2:46:26,2:46:26 AM,36.69363,-120.79318,triangle,1,45.104,,20578912,evening,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,3:46:26,3:46:26 AM,36.69363,-120.79318,triangle,1,43.648,,20578912,evening,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,4:46:26,4:46:26 AM,36.69363,-120.79318,triangle,1,45.286,,20578912,evening,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,5:46:26,5:46:26 AM,36.69363,-120.79318,triangle,1,45.466,34,20578912,evening,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,6:46:26,6:46:26 AM,36.69363,-120.79318,triangle,1,47.266,32,20578912,morning,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,7:46:26,7:46:26 AM,36.69363,-120.79318,triangle,1,53.623,768,20578912,morning,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,8:46:26,8:46:26 AM,36.69363,-120.79318,triangle,1,59.851,11264,20578912,morning,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,9:46:26,9:46:26 AM,36.69363,-120.79318,triangle,1,65.509,6144,20578912,morning,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,10:46:02,10:46:02 AM,36.69363,-120.79318,triangle,1,65.68,512,20578912,morning,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,11:46:02,11:46:02 AM,36.69363,-120.79318,triangle,1,82.508,1748,20578912,morning,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,12:46:02,12:46:02 PM,36.69363,-120.79318,triangle,1,66.366,6656,20578912,afternoon,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,1:46:26,1:46:26 AM,36.69363,-120.79318,triangle,1,61.741,512,20578912,evening,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,2:46:26,2:46:26 AM,36.69363,-120.79318,triangle,1,55.884,234,20578912,evening,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,3:46:26,3:46:26 AM,36.69363,-120.79318,triangle,1,61.398,32,20578912,evening,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,4:46:26,4:46:26 AM,36.69363,-120.79318,triangle,1,57.268,1536,20578912,evening,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,5:46:26,5:46:26 AM,36.69363,-120.79318,triangle,1,68.248,2432,20578912,evening,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,6:46:26,6:46:26 AM,36.69363,-120.79318,triangle,1,56.75,96,20578912,morning,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,7:46:26,7:46:26 AM,36.69363,-120.79318,triangle,1,48.695,256,20578912,morning,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,8:46:26,8:46:26 AM,36.69363,-120.79318,triangle,1,45.828,,20578912,morning,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,9:46:26,9:46:26 AM,36.69363,-120.79318,triangle,1,44.742,,20578912,morning,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,10:46:02,10:46:02 AM,36.69363,-120.79318,triangle,1,44.56,,20578912,morning,23,15
panoche,hobo.pendant,05/21/19,2019,5,21,11:46:02,11:46:02 AM,36.69363,-120.79318,triangle,1,45.286,,20578912,morning,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,12:46:02,12:46:02 PM,36.69363,-120.79318,triangle,1,44.742,,20578912,afternoon,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,1:46:26,1:46:26 AM,36.69363,-120.79318,triangle,1,46.008,,20578912,evening,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,2:46:26,2:46:26 AM,36.69363,-120.79318,triangle,1,46.188,,20578912,evening,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,3:46:26,3:46:26 AM,36.69363,-120.79318,triangle,1,45.104,,20578912,evening,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,4:46:26,4:46:26 AM,36.69363,-120.79318,triangle,1,46.369,,20578912,evening,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,5:46:26,5:46:26 AM,36.69363,-120.79318,triangle,1,46.728,5,20578912,evening,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,6:46:26,6:46:26 AM,36.69363,-120.79318,triangle,1,47.982,352,20578912,morning,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,7:46:26,7:46:26 AM,36.69363,-120.79318,triangle,1,55.189,496,20578912,morning,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,8:46:26,8:46:26 AM,36.69363,-120.79318,triangle,1,70.651,3584,20578912,morning,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,9:46:26,9:46:26 AM,36.69363,-120.79318,triangle,1,61.569,3456,20578912,morning,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,10:46:02,10:46:02 AM,36.69363,-120.79318,triangle,1,80.206,874,20578912,morning,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,11:46:02,11:46:02 AM,36.69363,-120.79318,triangle,1,81.975,7168,20578912,morning,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,12:46:02,12:46:02 PM,36.69363,-120.79318,triangle,1,70.308,5376,20578912,afternoon,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,1:46:26,1:46:26 AM,36.69363,-120.79318,triangle,1,76.703,496,20578912,evening,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,2:46:26,2:46:26 AM,36.69363,-120.79318,triangle,1,88.833,468,20578912,evening,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,3:46:26,3:46:26 AM,36.69363,-120.79318,triangle,1,83.043,64,20578912,evening,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,4:46:26,4:46:26 AM,36.69363,-120.79318,triangle,1,76.181,5376,20578912,evening,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,5:46:26,5:46:26 AM,36.69363,-120.79318,triangle,1,71.168,1792,20578912,evening,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,6:46:26,6:46:26 AM,36.69363,-120.79318,triangle,1,65.338,188,20578912,morning,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,7:46:26,7:46:26 AM,36.69363,-120.79318,triangle,1,56.23,28,20578912,morning,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,8:46:26,8:46:26 AM,36.69363,-120.79318,triangle,1,53.1,,20578912,morning,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,9:46:26,9:46:26 AM,36.69363,-120.79318,triangle,1,52.05,,20578912,morning,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,10:46:02,10:46:02 AM,36.69363,-120.79318,triangle,1,50.113,,20578912,morning,23,15
panoche,hobo.pendant,05/22/19,2019,5,22,11:46:02,11:46:02 AM,36.69363,-120.79318,triangle,1,50.466,,20578912,morning,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,12:46:02,12:46:02 PM,36.69363,-120.79318,triangle,1,52.401,,20578912,afternoon,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,1:46:26,1:46:26 AM,36.69363,-120.79318,triangle,1,54.669,,20578912,evening,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,2:46:26,2:46:26 AM,36.69363,-120.79318,triangle,1,55.711,,20578912,evening,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,3:46:26,3:46:26 AM,36.69363,-120.79318,triangle,1,48.695,,20578912,evening,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,4:46:26,4:46:26 AM,36.69363,-120.79318,triangle,1,47.982,,20578912,evening,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,5:46:26,5:46:26 AM,36.69363,-120.79318,triangle,1,47.982,32,20578912,evening,23,15
