site,sensor,year,month,day,hour,microsite,temp,RH
Panoche,station,2014,1,10,1,site,4.56,87
Panoche,station,2014,1,10,2,site,3.33,88
Panoche,station,2014,1,10,3,site,3,88
Panoche,station,2014,1,10,4,site,2.5,88
Panoche,station,2014,1,10,5,site,1.33,88
Panoche,station,2014,1,10,6,site,2.22,92
Panoche,station,2014,1,10,7,site,2.5,93
Panoche,station,2014,1,10,8,site,1.94,93
Panoche,station,2014,1,10,9,site,5.39,89
Panoche,station,2014,1,10,10,site,10.28,75
Panoche,station,2014,1,10,11,site,12.89,61
Panoche,station,2014,1,10,12,site,14.11,55
Panoche,station,2014,1,10,13,site,15.39,51
Panoche,station,2014,1,10,14,site,16.06,48
Panoche,station,2014,1,10,15,site,16.44,47
Panoche,station,2014,1,10,16,site,16.33,47
Panoche,station,2014,1,10,17,site,15.11,51
Panoche,station,2014,1,10,18,site,12.44,57
Panoche,station,2014,1,10,19,site,10.06,64
Panoche,station,2014,1,10,20,site,9,68
Panoche,station,2014,1,10,21,site,7.06,70
Panoche,station,2014,1,10,22,site,5.94,75
Panoche,station,2014,1,10,23,site,4.61,72
Panoche,station,2014,1,10,24,site,3.56,76
Panoche,station,2014,1,11,1,site,3.17,76
Panoche,station,2014,1,11,2,site,2.5,78
Panoche,station,2014,1,11,3,site,1.94,77
Panoche,station,2014,1,11,4,site,1.67,77
Panoche,station,2014,1,11,5,site,1.61,78
Panoche,station,2014,1,11,6,site,2.17,80
Panoche,station,2014,1,11,7,site,1.83,81
Panoche,station,2014,1,11,8,site,2.89,85
Panoche,station,2014,1,11,9,site,4.89,84
Panoche,station,2014,1,11,10,site,7.11,80
Panoche,station,2014,1,11,11,site,10.5,71
Panoche,station,2014,1,11,12,site,12.78,62
Panoche,station,2014,1,11,13,site,14.72,57
Panoche,station,2014,1,11,14,site,15.5,55
Panoche,station,2014,1,11,15,site,15.94,53
Panoche,station,2014,1,11,16,site,15.44,55
Panoche,station,2014,1,11,17,site,13.72,63
Panoche,station,2014,1,11,18,site,11.39,70
Panoche,station,2014,1,11,19,site,9.44,78
Panoche,station,2014,1,11,20,site,8.78,81
Panoche,station,2014,1,11,21,site,7.67,85
Panoche,station,2014,1,11,22,site,6.22,86
Panoche,station,2014,1,11,23,site,6.11,87
Panoche,station,2014,1,11,24,site,5.11,88
Panoche,station,2014,1,12,1,site,3.72,90
Panoche,station,2014,1,12,2,site,2.61,92
Panoche,station,2014,1,12,3,site,3.11,94
Panoche,station,2014,1,12,4,site,2.72,94
Panoche,station,2014,1,12,5,site,2.39,94
Panoche,station,2014,1,12,6,site,1.5,94
Panoche,station,2014,1,12,7,site,2.5,95
Panoche,station,2014,1,12,8,site,4.94,93
Panoche,station,2014,1,12,9,site,6.89,88
Panoche,station,2014,1,12,10,site,9.22,79
Panoche,station,2014,1,12,11,site,10.61,73
