site,sensor,date,year,month,day,hour,lat,lon,microsite,rep,temp,intensity,pendant.id
panoche,hobo.pendant,05/22/19,2019,5,22,10:24:11,36.69532,-120.79684,shrub.soil,1,65.851,29,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,11:24:11,36.69532,-120.79684,shrub.soil,1,76.703,9,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,12:24:11,36.69532,-120.79684,shrub.soil,1,78.098,6,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,13:24:11,36.69532,-120.79684,shrub.soil,1,83.043,8,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,14:24:11,36.69532,-120.79684,shrub.soil,1,87.004,2,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,15:24:11,36.69532,-120.79684,shrub.soil,1,88.282,2,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,16:24:11,36.69532,-120.79684,shrub.soil,1,81.09,5,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,17:24:11,36.69532,-120.79684,shrub.soil,1,76.181,2,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,18:24:11,36.69532,-120.79684,shrub.soil,1,71.512,,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,19:24:11,36.69532,-120.79684,shrub.soil,1,65.338,,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,20:24:11,36.69532,-120.79684,shrub.soil,1,62.083,,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,21:24:11,36.69532,-120.79684,shrub.soil,1,59.508,,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,22:24:11,36.69532,-120.79684,shrub.soil,1,57.441,,1174238
panoche,hobo.pendant,05/22/19,2019,5,22,23:24:11,36.69532,-120.79684,shrub.soil,1,56.057,,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,00:24:11,36.69532,-120.79684,shrub.soil,1,55.364,,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,01:24:11,36.69532,-120.79684,shrub.soil,1,56.23,,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,02:24:11,36.69532,-120.79684,shrub.soil,1,56.23,,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,03:24:11,36.69532,-120.79684,shrub.soil,1,56.057,,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,04:24:11,36.69532,-120.79684,shrub.soil,1,54.147,,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,05:24:11,36.69532,-120.79684,shrub.soil,1,53.449,,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,06:24:11,36.69532,-120.79684,shrub.soil,1,53.449,,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,07:24:11,36.69532,-120.79684,shrub.soil,1,56.23,,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,08:24:11,36.69532,-120.79684,shrub.soil,1,59.508,1,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,09:24:11,36.69532,-120.79684,shrub.soil,1,68.592,9,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,10:24:11,36.69532,-120.79684,shrub.soil,1,74.964,9,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,11:24:11,36.69532,-120.79684,shrub.soil,1,80.559,12,1174238
